name,image_src,url,table_check,qualification,expertise
รศ. พญ.กติกา นวพันธุ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587712654_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B2_%E0%B8%99%E0%B8%A7%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=656,"เสาร์ 14:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5","แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2544วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาสูติศาสตร์และนรีเวชวิทยา จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2550วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาเวชศาสตร์มารดาและทารกในครรภ์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2552Certificate in Fetal Intervention, University Hospital, Leuven, KU Leuven, Belgium (Research Fellow)พ.ศ.2557",เวชศาสตร์มารดาและทารกในครรภ์
รศ. พญ.กนกรัตน์ พรพาณิชย์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587630416_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C_%E0%B8%9E%E0%B8%A3%E0%B8%9E%E0%B8%B2%E0%B8%93%E0%B8%B4%E0%B8%8A%E0%B8%A2%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=19,"พุธ 08:00 - 11:15 น. สัปดาห์ที่ 1,2,3,4,5",การถนอมสายตา,ศัลยกรรมกระดูกเบ้าตาและตกแต่ง
อ. พญ.กนกรัตน์ สุวรรณสิทธิ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1588049253_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C_%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%AA%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=430,"พฤหัสบดี 13:30 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2551วุฒิบัตรสาขาโสต ศอ นาสิก คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2557แพทย์เฟลโลว์ สาขาโสต ประสาท การได้ยินและการทรงตัว คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2558,โสต ประสาท การได้ยินและการทรงตัว
ทพญ.กนกอร ตันติพาณิชย์กูล,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1199,"พุธ 16:30 - 19:30 น. สัปดาห์ที่ 3,4",ทันตแพทยศาสตร์บัณฑิต คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล พ.ศ.2553ประกาศนียบัตรทันตแพทย์ประจำบ้านสาขาทันตกรรมจัดฟัน คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล พ.ศ.2562วุฒิบัตรสาขาทันตกรรมจัดฟัน ทันตแพทยสภา พ.ศ.2563,ทันตกรรมจัดฟัน การจัดฟันด้วยการผ่าตัดจัดฟัน
ผศ. นพ.กมล เผือกเพ็ชร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587629390_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A1%E0%B8%A5_%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%8A%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=2,"พุธ 16:00 - 18:00 น. สัปดาห์ที่ 1,3,5 อาทิตย์ 10:00 - 12:00 น. สัปดาห์ที่ 2,4",โรคมือ เท้า ปาก(hand-foot-and-mouth disease),กุมารเวชศาสตร์โลหิตวิทยาและมะเร็งในเด็ก
ทพญ.กมลชนก ศรีเมืองธน,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1588040358_%E0%B8%97%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B8%8A%E0%B8%99%E0%B8%81_%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%98%E0%B8%99.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=699,,ทันตแพทยศาสตร์บัณฑิต (เกียรตินิยมอันดับ 2) จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2554ประกาศนียบัตรชั้นสูงทางวิทยาศาสตร์การแพทย์คลินิก สาขาทันตกรรมหัตถการ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2559,ทันตกรรมหัตถการ
ศ.คลินิก พญ.กมลทิพย์ หาญผดุงกิจ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587713725_%E0%B8%A3%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B8%97%E0%B8%B4%E0%B8%9E%E0%B8%A2%E0%B9%8C_%E0%B8%AB%E0%B8%B2%E0%B8%8D%E0%B8%9C%E0%B8%94%E0%B8%B8%E0%B8%87%E0%B8%81%E0%B8%B4%E0%B8%88.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=606,"จันทร์ 08:00 - 09:30 น. สัปดาห์ที่ 1,2,3,4,5 11:30 - 13:00 น. สัปดาห์ที่ 1,2,3,4,5","ว.ว.(เวชศาสตร์ฟื้นฟู), พ.บ., วท.บ.(การแพทย์), อ.ว. (เวชศาสตร์ครอบครัว)Certificate of Acupuncture Shanghai Traditional Medicine UniversityCerticate of Internship Police General Hospital.",เวชศาสตร์ฟื้นฟู
รศ. พญ.กมลเนตร วรรณเสวก,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587631280_%E0%B8%AD.%E0%B8%9E%E0%B8%8D._%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B9%80%E0%B8%99%E0%B8%95%E0%B8%A3_%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B9%80%E0%B8%AA%E0%B8%A7%E0%B8%81.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=30,"ศุกร์ 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5","แพทยศาสตร์บัณฑิต (เกียรตินิยมอันดับ 2) คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิกวุฒิบัตรแสดงความรู้ความชำนาญในการประกอบวิชาชีพเวชกรรม สาขาจิตเวชศาสตร์Master of Rehabilitation Counseling จาก The University of Sydney, Australia",จิตเวชศาสตร์ทั่วไป
พญ.กมลวรรธก์ สุทธิภูล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1701313919_%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%98%E0%B8%81%E0%B9%8C_%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%A0%E0%B8%B9%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1220,"เสาร์ 13:00 - 16:30 น. สัปดาห์ที่ 1,3,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ..2556วุฒิบัตรสาขาอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ..2562วุฒิบัตรสาขาอายุรศาสตร์โรคติดเชื้อ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ..2564,อายุรกรรม โรคติดเชื้อ
รศ. นพ.กรกฎ ศิริมัย,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587631589_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A3%E0%B8%81%E0%B8%8E_%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%B1%E0%B8%A2.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=36,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 16:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 14:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5","แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2533วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาสูติศาสตร์นรีเวชวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2539Fellowship in Gynecologie Endoscopy, Bielefeld Mittle City Hospitalประเทศเยอรมนี พ.ศ.2542","การผ่าตัดผ่านกล้องทางนรีเวช, อนามัยการเจริญพันธ์"
